public dataset downloaded from https://data.opendatasoft.com
opendatasoft dataset identifier airports-code@public
opensoft url https://data.opendatasoft.com/explore/dataset/airports-code%40public/export/
This file is extracted from the original download file
"AIRPORT_CODE"|"AIRPORT_NAME"|"CITY_NAME"|"COUNTRY_CODE"|"COUNTRY_NAME"|"COORDINATES"|"LATITUDE"|"LONGITUDE"
"ALV"|"Andorra La Vella H/P"|"Andorra La Vella"|"AD"|"Andorra"|"42.5, 1.516667"|"42.5"|"1.516667"
"AAN"|"Al Ain"|"Al Ain"|"AE"|"United Arab Emirates"|"24.261667, 55.609167"|"24.261667"|"55.609167"
"AUH"|"Abu Dhabi International"|"Abu Dhabi"|"AE"|"United Arab Emirates"|"24.433056, 54.651111"|"24.433056"|"54.651111"
"AZI"|"Bateen"|"Abu Dhabi"|"AE"|"United Arab Emirates"|"24.428333, 54.458056"|"24.428333"|"54.458056"
"DHF"|"Al Dhafra Military Apt"|"Abu Dhabi"|"AE"|"United Arab Emirates"|"24.45, 54.383333"|"24.45"|"54.383333"
"DXB"|"Dubai"|"Dubai"|"AE"|"United Arab Emirates"|"25.25, 55.333333"|"25.25"|"55.333333"
"FJR"|"Fujairah Intl"|"Al-fujairah"|"AE"|"United Arab Emirates"|"25.112222, 56.323889"|"25.112222"|"56.323889"
"NHD"|"Minhad AB"|"Minhad AB"|"AE"|"United Arab Emirates"|"25.026944, 55.366111"|"25.026944"|"55.366111"
"RKT"|"Ras Al Khaimah"|"Ras Al Khaimah"|"AE"|"United Arab Emirates"|"25.613611, 55.938889"|"25.613611"|"55.938889"
"SHJ"|"Sharjah"|"Sharjah"|"AE"|"United Arab Emirates"|"25.328611, 55.517222"|"25.328611"|"55.517222"
"BIN"|"Bamiyan"|"Bamiyan"|"AF"|"Afghanistan"|"34.8, 67.816667"|"34.8"|"67.816667"
"BST"|"Bost"|"Bost"|"AF"|"Afghanistan"|"31.55, 64.366667"|"31.55"|"64.366667"
"CCN"|"Chakcharan"|"Chakcharan"|"AF"|"Afghanistan"|"34.533333, 65.266667"|"34.533333"|"65.266667"
"DAZ"|"Darwaz"|"Darwaz"|"AF"|"Afghanistan"|"38.466667, 70.883333"|"38.466667"|"70.883333"
