geonames datasets sourced from geonames.org under opensource attribution license
geonames datasets downloaded from https://data.opendatasoft.com
opendatasoft dataset identifier geonames-all-cities-with-a-population-1000@public
opensoft url https://data.opendatasoft.com/explore/dataset/geonames-all-cities-with-a-population-1000%40public/information/
This file is extracted from the download
"CITY_NAME"|"CITY_NAME_UNICODE"|"COUNTRY_CODE"|"COUNTRY_NAME"|"POPULATION"|"TIME_ZONE_NAME"|"LATITUDE"|"LONGITUDE"
"Andorra la Vella"|"Andorra la Vella"|"AD"|"Andorra"|20430|"Europe/Andorra"|"42.50779"|"1.52109"
"Arinsal"|"Arinsal"|"AD"|"Andorra"|1419|"Europe/Andorra"|"42.57205"|"1.48453"
"Canillo"|"Canillo"|"AD"|"Andorra"|3292|"Europe/Andorra"|"42.5676"|"1.59756"
"El Tarter"|"El Tarter"|"AD"|"Andorra"|1052|"Europe/Andorra"|"42.57952"|"1.65362"
"Encamp"|"Encamp"|"AD"|"Andorra"|11223|"Europe/Andorra"|"42.53474"|"1.58014"
"Ordino"|"Ordino"|"AD"|"Andorra"|3066|"Europe/Andorra"|"42.55623"|"1.53319"
"Pas de la Casa"|"Pas de la Casa"|"AD"|"Andorra"|2363|"Europe/Andorra"|"42.54277"|"1.73361"
"Sant Julia de Loria"|"Sant Julià de Lòria"|"AD"|"Andorra"|8022|"Europe/Andorra"|"42.46372"|"1.49129"
"la Massana"|"la Massana"|"AD"|"Andorra"|7211|"Europe/Andorra"|"42.54499"|"1.51483"
"les Escaldes"|"les Escaldes"|"AD"|"Andorra"|15853|"Europe/Andorra"|"42.50729"|"1.53414"
"Abu Dhabi"|"Abu Dhabi"|"AE"|"United Arab Emirates"|1807000|"Asia/Dubai"|"24.45118"|"54.39696"
"Adh Dhayd"|"Adh Dhayd"|"AE"|"United Arab Emirates"|20165|"Asia/Dubai"|"25.28812"|"55.88157"
"Ajman City"|"Ajman City"|"AE"|"United Arab Emirates"|490035|"Asia/Dubai"|"25.40177"|"55.47878"
"Al Ain City"|"Al Ain City"|"AE"|"United Arab Emirates"|846747|"Asia/Dubai"|"24.19167"|"55.76056"
"Al Fujairah City"|"Al Fujairah City"|"AE"|"United Arab Emirates"|86512|"Asia/Dubai"|"25.11641"|"56.34141"
"Al Manamah"|"Al Manāmah"|"AE"|"United Arab Emirates"|5823|"Asia/Dubai"|"25.3299"|"56.02188"
"Al Shamkhah City"|"Al Shamkhah City"|"AE"|"United Arab Emirates"|61710|"Asia/Dubai"|"24.39268"|"54.70779"
"Al Wiqan"|"Al Wiqan"|"AE"|"United Arab Emirates"|2000|"Asia/Dubai"|"23.75355"|"55.32739"
"Ar Ruways"|"Ar Ruways"|"AE"|"United Arab Emirates"|25000|"Asia/Dubai"|"24.11028"|"52.73056"
"Bani Yas City"|"Bani Yas City"|"AE"|"United Arab Emirates"|80498|"Asia/Dubai"|"24.30978"|"54.62944"
"Dibba Al-Fujairah"|"Dibba Al-Fujairah"|"AE"|"United Arab Emirates"|30000|"Asia/Dubai"|"25.59246"|"56.26176"
"Dibba Al-Hisn"|"Dibba Al-Hisn"|"AE"|"United Arab Emirates"|26395|"Asia/Dubai"|"25.61955"|"56.27291"
"Dubai"|"Dubai"|"AE"|"United Arab Emirates"|3478300|"Asia/Dubai"|"25.07725"|"55.30927"
"Khalifah A City"|"Khalifah A City"|"AE"|"United Arab Emirates"|85374|"Asia/Dubai"|"24.42588"|"54.605"
"Khawr Fakkan"|"Khawr Fakkān"|"AE"|"United Arab Emirates"|40677|"Asia/Dubai"|"25.33132"|"56.34199"
"Masfut"|"Maşfūţ"|"AE"|"United Arab Emirates"|8988|"Asia/Dubai"|"24.81089"|"56.10657"
"Murbah"|"Murbaḩ"|"AE"|"United Arab Emirates"|2000|"Asia/Dubai"|"25.27623"|"56.36256"
"Musaffah"|"Musaffah"|"AE"|"United Arab Emirates"|243341|"Asia/Dubai"|"24.35893"|"54.48267"
"Muzayri`"|"Muzayri‘"|"AE"|"United Arab Emirates"|10000|"Asia/Dubai"|"23.14355"|"53.7881"
"Ras Al Khaimah City"|"Ras Al Khaimah City"|"AE"|"United Arab Emirates"|351943|"Asia/Dubai"|"25.78953"|"55.9432"
"Reef Al Fujairah City"|"Reef Al Fujairah City"|"AE"|"United Arab Emirates"|82310|"Asia/Dubai"|"25.14479"|"56.24764"
"Sharjah"|"Sharjah"|"AE"|"United Arab Emirates"|1274749|"Asia/Dubai"|"25.33737"|"55.41206"
"Umm Al Quwain City"|"Umm Al Quwain City"|"AE"|"United Arab Emirates"|62747|"Asia/Dubai"|"25.56473"|"55.55517"
"Zayed City"|"Zayed City"|"AE"|"United Arab Emirates"|63482|"Asia/Dubai"|"23.65416"|"53.70522"
"'Alaqahdari Atghar"|"‘Alāqahdārī Aṯghar"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"31.73506"|"67.3574"
"'Alaqahdari Dishu"|"‘Alāqahdārī Dīshū"|"AF"|"Afghanistan"|9196|"Asia/Kabul"|"30.43206"|"63.29802"
"'Alaqahdari Gelan"|"‘Alāqahdārī Gēlān"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"32.72692"|"67.63696"
"'Alaqahdari Sarobi"|"‘Alāqahdārī Saṟōbī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"32.79331"|"69.0866"
"'Alaqahdari Shah Joy"|"‘Alāqahdārī Shāh Jōy"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"32.52154"|"67.41315"
"'Alaqahdari Yosuf Khel"|"‘Alāqahdārī Yōsuf Khēl"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"33.05195"|"68.65"
"'Alaqahdari-ye Almar"|"‘Alāqahdārī-ye Almār"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.84616"|"64.53074"
"'Ali Khel"|"‘Alī Khēl"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"33.94253"|"69.71908"
"'Ali Sher 'Alaqahdari"|"‘Alī Shēr ‘Alāqahdārī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"33.4362"|"70.06711"
"'Unabah"|"’Unābah"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.23251"|"69.37719"
"Ab-e Kamari"|"Āb-e Kamarī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.08796"|"63.0678"
