prompt datafile is based on free download from simplemaps.com, under opensource attribution license 
prompt csv file exported from https://simplemaps.com/data/world-cities
prompt there are minor changes to csv header to allow use as external table
this file is extracted from the download file
"CITY_NAME"|"CITY_NAME_UNICODE"|"COUNTRY_CODE"|"COUNTRY_NAME"|"POPULATION"|"LATITUDE"|"LONGITUDE"
"Aibak"|"Aībak"|"AF"|"Afghanistan"|4938|36|68
"Andkhoy"|"Andkhōy"|"AF"|"Afghanistan"|37887|37|65
"Aqchah"|"Āqchah"|"AF"|"Afghanistan"|50000|37|66
"Asadabad"|"Asadābād"|"AF"|"Afghanistan"|48400|35|71
"Baghlan"|"Baghlān"|"AF"|"Afghanistan"|73031|36|69
"Bagrami"|"Bagrāmī"|"AF"|"Afghanistan"|31680|34|69
"Bala Koh"|"Bālā Kōh"|"AF"|"Afghanistan"|30419|37|67
"Balkh"|"Balkh"|"AF"|"Afghanistan"|77000|37|67
"Bamyan"|"Bāmyān"|"AF"|"Afghanistan"|100000|35|68
"Baraki"|"Barakī"|"AF"|"Afghanistan"|15000|34|69
"Baraki Barak"|"Barakī Barak"|"AF"|"Afghanistan"|22622|34|69
"Bazar-e Yakawlang"|"Bāzār-e Yakāwlang"|"AF"|"Afghanistan"|65000|35|67
"Bazarak"|"Bāzārak"|"AF"|"Afghanistan"|24723|35|70
"Charikar"|"Chārīkār"|"AF"|"Afghanistan"|96093|35|69
"Chichkah"|"Chīchkah"|"AF"|"Afghanistan"|8792|37|69
"Deh-e Shu"|"Deh-e Shū"|"AF"|"Afghanistan"|9482|30|63
"Faizabad"|"Faīẕābād"|"AF"|"Afghanistan"|64704|37|71
"Farah"|"Farāh"|"AF"|"Afghanistan"|500000|32|62
"Fayroz Koh"|"Fayrōz Kōh"|"AF"|"Afghanistan"|15000|35|65
"Gardez"|"Gardēz"|"AF"|"Afghanistan"|70641|34|69
"Ghazni"|"Ghaznī"|"AF"|"Afghanistan"|143379|34|68
"Ghoriyan"|"Ghōriyān"|"AF"|"Afghanistan"|54000|34|61
"Gudarah"|"Gūdārah"|"AF"|"Afghanistan"|38000|35|69
"Haskah Menah"|"Haskah Mēnah"|"AF"|"Afghanistan"|50595|34|70
"Herat"|"Herāt"|"AF"|"Afghanistan"|556205|34|62
"Hukumati Baghran"|"Ḩukūmatī Baghrān"|"AF"|"Afghanistan"|26724|33|65
"Hukumati Gizab"|"Ḩukūmatī Gīzāb"|"AF"|"Afghanistan"|12000|33|66
"Imam Sahib"|"Imām Şāḩib"|"AF"|"Afghanistan"|9691|37|69
"Islam Qal`ah"|"Islām Qal‘ah"|"AF"|"Afghanistan"|16408|35|61
"Jalalabad"|"Jalālābād"|"AF"|"Afghanistan"|263312|34|70
"Kabul"|"Kabul"|"AF"|"Afghanistan"|4273156|35|69
"Kandahar"|"Kandahār"|"AF"|"Afghanistan"|614254|32|66
"Karukh"|"Karukh"|"AF"|"Afghanistan"|17484|34|63
"Khanabad"|"Khānābād"|"AF"|"Afghanistan"|26803|37|69
"Khost"|"Khōst"|"AF"|"Afghanistan"|160214|33|70
"Khulm"|"Khulm"|"AF"|"Afghanistan"|28078|37|68
"Kotah-ye `Ashro"|"Kōṯah-ye ‘As̲h̲rō"|"AF"|"Afghanistan"|35008|34|69
"Kuhsan"|"Kuhsān"|"AF"|"Afghanistan"|12463|35|61
"Kunduz"|"Kunduz"|"AF"|"Afghanistan"|268893|37|69
"Kushk"|"Kushk"|"AF"|"Afghanistan"|17479|33|62
"Lashkar Gah"|"Lashkar Gāh"|"AF"|"Afghanistan"|276831|32|64
"Mahmud-e Raqi"|"Maḩmūd-e Rāqī"|"AF"|"Afghanistan"|50490|35|69
"Maidan Shahr"|"Maīdān Shahr"|"AF"|"Afghanistan"|35008|34|69
"Maimanah"|"Maīmanah"|"AF"|"Afghanistan"|149040|36|65
"Mama Khel"|"Māmā Khēl"|"AF"|"Afghanistan"|9536|34|70
"Mazar-e Sharif"|"Mazār-e Sharīf"|"AF"|"Afghanistan"|469247|37|67
"Mehtar Lam"|"Mehtar Lām"|"AF"|"Afghanistan"|144162|35|70
"Nili"|"Nīlī"|"AF"|"Afghanistan"||34|66
"Paghman"|"Paghmān"|"AF"|"Afghanistan"|143000|35|69
"Panjab"|"Panjāb"|"AF"|"Afghanistan"|9900|34|67
"Parun"|"Pārūn"|"AF"|"Afghanistan"|1647|35|71
"Pul-e Khumri"|"Pul-e Khumrī"|"AF"|"Afghanistan"|113500|36|69
"Pul-e `Alam"|"Pul-e ‘Alam"|"AF"|"Afghanistan"|22914|34|69
"Qal`ah-ye Now"|"Qal‘ah-ye Now"|"AF"|"Afghanistan"|64125|35|63
"Qal`ah-ye Zal"|"Qal‘ah-ye Zāl"|"AF"|"Afghanistan"|18000|37|68
"Qalat"|"Qalāt"|"AF"|"Afghanistan"|12191|32|67
"Qarqin"|"Qarqīn"|"AF"|"Afghanistan"|16500|37|66
"Sangin"|"Sangīn"|"AF"|"Afghanistan"|20000|32|65
"Sar-e Pul"|"Sar-e Pul"|"AF"|"Afghanistan"|51075|36|66
"Sharan"|"Sharan"|"AF"|"Afghanistan"||33|69
"Sheghnan"|"Sheghnān"|"AF"|"Afghanistan"|24000|38|71
