geonames datasets sourced from geonames.org under opensource attribution license
geonames datasets downloaded from https://data.opendatasoft.com
opendatasoft dataset identifier geonames-postal-code
opensoft url https://public.opendatasoft.com/explore/dataset/geonames-postal-code/information/
this file is extracted from the export.  files are separated by continent
"POSTAL_CODE"|"CITY_NAME"|"COUNTY_NAME"|"STATE_PROVINCE_CODE"|"COUNTRY_CODE"|"COUNTRY_NAME"|"LATITUDE"|"LONGITUDE"|"CONTINENT"
"96799"|"Pago Pago"|""|""|"AS"|"American Samoa"|-14|-171|"OC"
"0200"|"Australian National University"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"0221"|"Barton"|""|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2540"|"Jervis Bay"|"NEW CNTRY WEST"|"ACT"|"AU"|"Australia"|-35|151|"OC"
"2540"|"Hmas Creswell"|"NEW CNTRY WEST"|"ACT"|"AU"|"Australia"|-35|151|"OC"
"2540"|"Wreck Bay"|""|"ACT"|"AU"|"Australia"|-35|151|"OC"
"2600"|"Yarralumla"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2600"|"Barton"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2600"|"Harman"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2600"|"Capital Hill"|""|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2600"|"Canberra"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2600"|"Deakin West"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2600"|"Duntroon"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2600"|"Russell"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2600"|"Hmas Harman"|""|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2600"|"Parliament House"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2600"|"Parkes"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2600"|"Deakin"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2601"|"Black Mountain"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2601"|"Acton"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2601"|"City"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2601"|"Canberra"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2602"|"Downer"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
"2602"|"Hackett"|"CANBERRA"|"ACT"|"AU"|"Australia"|-35|149|"OC"
